Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,EMA_20,EMA_50,RSI_14,EMA_12,EMA_26,MACD,Bollinger_Upper,Bollinger_Lower
2020-01-02,1876.1563720703125,1885.717993288486,1857.0855009458348,1859.527465603924,4710773.0,,,1876.1563720703125,1876.1563720703125,,1876.1563720703125,1876.1563720703125,0.0,,
2020-01-03,1911.0777587890625,1915.3015674980456,1888.2130042244771,1891.1230638963336,4984931.0,,,1879.482218424479,1877.5258382161458,,1881.5288931039663,1878.7431414568866,2.785751647079678,,
2020-01-06,1919.807373046875,1944.4099147972115,1918.5602049829645,1927.2903814303409,7332363.0,,,1883.3227093408977,1879.1839376212724,,1887.4178900182599,1881.7849363894784,5.632953628781479,,
2020-01-07,1904.425537109375,1928.60403237346,1901.0997557741043,1927.7060064562695,5726726.0,,,1885.332502461705,1880.1738042678646,,1890.0344511092007,1883.4620179242856,6.5724331849150985,,
2020-01-08,1891.953857421875,1913.987158771767,1884.4708494162512,1913.155713437809,7149697.0,,,1885.9631076960068,1880.6357671366493,,1890.3297443880738,1884.0910430722552,6.238701315818616,,
2020-01-09,1879.4827880859373,1897.8328494057007,1879.4827880859375,1889.4601353352325,5807827.0,,,1885.3459343998097,1880.5905522719156,,1888.6609818800525,1883.7496908510464,4.911291029006179,,
2020-01-10,1881.976806640625,1898.289864069583,1879.0742581341212,1896.942824983692,4224987.0,,,1885.025065089411,1880.6449151883357,,1887.6326472278329,1883.6183660947188,4.014281133114082,,
2020-01-13,1885.7181396484373,1898.2896913477668,1872.3234651347184,1890.70681197555,4332597.0,,,1885.0910721902706,1880.8438651671634,,1887.3381076002338,1883.7739048764756,3.5642027237581715,,
2020-01-14,1876.572509765625,1894.0328654169664,1872.4152822295916,1886.549855852106,5532678.0,,,1884.2797805307805,1880.6763610337698,,1885.6818617795248,1883.2404682015979,2.441393577926874,,
2020-01-15,1881.1451416015625,1889.0438725828728,1870.336351837664,1880.729418918336,14203230.0,,,1883.9812434899027,1880.694744585448,,1884.983904829069,1883.0852588238174,1.8986460052515213,,
2020-01-16,1874.9091796875,1928.1216796875,1867.426171875,1880.3135742187496,6051089.0,,,1883.1172374134833,1880.4678596874892,,1883.4339471149815,1882.4796233322384,0.9543237827431312,,
2020-01-17,1869.5050048828125,1880.4136660999263,1864.9320551265948,1873.6622319339197,5150891.0,,,1881.8208343153242,1880.0379438127961,,1881.2910329254169,1881.518540484133,-0.22750755871606998,,
2020-01-20,1864.1005859375,1883.223830128652,1858.6961908400008,1878.23515773096,7900903.0,,,1880.1331916126744,1879.4129493863138,,1878.6463487734297,1880.228321628827,-1.5819728553972254,,
2020-01-21,1833.3372802734373,1857.4491991523173,1828.3486074019447,1857.4491991523173,8752805.0,,,1875.6764381517946,1877.6060604014951,35.89036467341893,1871.6757228503538,1876.7549111580574,-5.079188307703589,,
2020-01-22,1817.9554443359373,1840.820193807348,1814.21393987698,1834.168630324756,8325457.0,,,1870.1792006455225,1875.266820555787,32.586969828448844,1863.4110646173667,1872.3993950971596,-8.988330479792921,,
2020-01-23,1806.31494140625,1821.6966796875,1798.00048828125,1810.887890625,6611475.0,,,1864.0968902417824,1872.562825295021,13.583055890542568,1854.6270456618104,1867.5042503793145,-12.877204717504128,,
2020-01-24,1818.370849609375,1836.2469233481047,1812.9664552232475,1818.370849609375,9559521.0,,,1859.7420292291722,1870.437649777937,15.536302330018174,1849.0491693460513,1863.8647392111707,-14.815569865119414,,
2020-01-27,1783.0347900390625,1806.73098566327,1779.2932854668193,1799.2479765187836,9821366.0,,,1852.436577877733,1867.0100866509222,13.68124262710596,1838.89311099113,1857.8773355687922,-18.98422457766219,,
2020-01-28,1786.776123046875,1794.2591314728509,1775.9673330982434,1788.439013808203,10836401.0,,,1846.1832012271752,1863.8636567056656,16.79748072470784,1830.87511284586,1852.6105790856873,-21.735466239827247,,
2020-01-29,1771.81005859375,1789.1614057090796,1770.648552163002,1787.6075204019533,7226189.0,,,1839.1000447858967,1860.2537116816688,16.53698343266653,1821.7881814224584,1846.6253553455438,-24.837173923085402,,
2020-01-30,1694.4859619140625,1749.0710908119825,1690.3287343333118,1726.9123370439197,14535464.0,,,1825.3272749885791,1853.7530156123512,10.229041157184184,1802.2032245750129,1835.3557706469155,-33.152546071902634,,
2020-01-31,1658.2349853515625,1700.306108871122,1649.587931540492,1699.4746633411116,11227503.0,,,1809.4137235945777,1846.085641876634,7.5943825143973385,1780.054264694482,1822.2357124768894,-42.181447782407304,,
2020-02-03,1633.2916259765625,1697.247264897131,1630.963537885306,1654.0777643098654,20366499.0,,,1792.6401904881,1837.7407785080038,7.1719695344946075,1757.4753971994176,1808.2398542176059,-50.764457018188295,,
2020-02-04,1659.066162109375,1690.04907349195,1644.1001449937153,1655.9066290092603,13450739.0,,,1779.918854452031,1830.7339308060969,13.62015339250027,1742.3355148778726,1797.1899510984776,-54.854436220605066,,
2020-02-05,1683.26123046875,1697.8115251258023,1645.430464360413,1651.915779148334,23192404.0,,,1770.7133664536232,1824.950687655613,20.34980872550146,1733.2471634303151,1788.7507866073868,-55.50362317707163,,
2020-02-06,1670.7894287109375,1705.2944106922782,1667.0479246406717,1698.2271252262206,17248595.0,,,1761.1968009543198,1818.905148089155,19.9143047872368,1723.6382811657957,1780.012908244687,-56.37462707889131,,
2020-02-07,1660.06396484375,1671.2053541705147,1645.4305452255962,1667.4638496462524,22171720.0,,,1751.5651022771226,1812.6760820795314,19.598529206341823,1713.8576171162501,1771.127801326099,-57.27018420984882,,
2020-02-10,1641.6058349609375,1666.21659875537,1637.6148564019263,1665.3851533468096,42511561.0,,,1741.0927911041526,1805.9674449376257,20.344552577082908,1702.7419583231251,1761.5335815953463,-58.79162327222116,,
2020-02-11,1651.7496337890625,1668.2954197763129,1646.5947122127477,1653.0799263092586,25094962.0,,,1732.583918978906,1799.919687637682,23.869237755049568,1694.8969853178849,1753.4014373133994,-58.5044519955145,,
2020-02-12,1669.54248046875,1725.3183426503165,1645.571944441186,1664.9695304475456,8947851.0,,,1726.5799724541293,1794.8068559839985,28.904822045443765,1690.9962922641716,1747.189662732314,-56.19337046814235,,
2020-02-13,1643.7998046875,1718.995305713447,1635.8400076416522,1673.9458149111622,23250549.0,,,1718.6961469525454,1788.8850108351162,24.165655032878107,1683.735294175453,1739.5311547289946,-55.795860553541615,,
2020-02-14,1629.2349853515625,1671.286890268039,1627.710711689337,1649.2193439160385,8535993.0,,,1710.1760363238805,1782.6242255220357,25.74862124957943,1675.3506312794698,1731.361068108444,-56.01043682897421,,
2020-02-17,1637.19482421875,1722.004741896319,1631.775311074411,1631.775311074411,16762161.0,,,1703.2254446948205,1776.9211117454363,26.72346326267001,1669.4805071162823,1724.3857907832814,-54.90528366699914,,
2020-02-18,1620.9361572265625,1701.9414832657374,1610.4359740859466,1632.1139215887451,10934310.0,,,1695.3883696978437,1770.8040547054804,26.61638897392112,1662.012145594787,1716.7228549642653,-54.71070936947831,,
2020-02-19,1632.79150390625,1710.254707735397,1621.4445236894155,1634.823834355209,7267170.0,,,1689.4267634319776,1765.391797811393,38.003597489447976,1657.516662258089,1710.5057178488569,-52.989055590767975,,
2020-02-20,1631.606201171875,1641.7677508490044,1627.3722221397377,1641.4290118527078,6611660.0,,,1683.9200432167297,1760.1453038255297,44.00446127469546,1653.5304374755945,1704.6613092061175,-51.13087173052304,,
2020-02-21,1598.5809326171875,1619.4120857570233,1584.354723787312,1615.686164075997,14241031.0,,,1675.7925088739162,1753.809446131085,42.45923185203494,1645.076667497378,1696.8035035328635,-51.726836035485576,,
2020-02-24,1542.6923828125,1561.3218874300385,1524.2948373589008,1556.5797490143211,22174973.0,,,1663.1163063918766,1745.5303456087877,27.64343524167586,1629.32523908432,1685.3878649609849,-56.062625876664924,,
2020-02-25,1507.9742431640625,1608.377964796829,1504.587059422336,1547.9429699689767,17046062.0,,,1648.3408717987513,1736.21442002272,17.634224504432865,1610.6558550965879,1672.2461151982498,-61.5902601016619,,
2020-02-26,1508.4820556640625,1516.4757583825365,1486.634682721938,1494.933322892172,42684959.0,,,1635.0209845478287,1727.2837390674786,18.64554583579367,1594.9368090300454,1660.1154441216433,-65.17863509159793,,
2020-02-27,1466.3115234375,1500.3010908404397,1444.633572565113,1482.7393819235126,16827295.0,,,1618.9534168230355,1717.0495345329696,16.62567822277248,1575.1483035542692,1645.7595981450402,-70.61129459077097,,
